ph_mode,ph_metric,other_metric,n,pearson,spearman
fixed_knn_vr,betti_curve_peak_h1,q10_pairwise_distance,1664,0.03449501591039785,0.017938213988563396
fixed_knn_vr,betti_curve_peak_h1,q50_pairwise_distance,1664,0.01828435052419248,-0.014445492858438578
fixed_knn_vr,betti_curve_peak_h1,q90_pairwise_distance,1664,0.021859296306064483,-0.019181870206688687
fixed_knn_vr,betti_curve_peak_h1,projection_residual,208,-0.6710616364755245,-0.5154197998855718
fixed_knn_vr,betti_curve_change_h1,effective_rank,1664,0.4615471465131133,0.34191583389366675
fixed_knn_vr,betti_curve_change_h1,top_k_variance_fraction,1664,-0.43206274992436583,-0.23051045594919792
fixed_knn_vr,betti_curve_change_h1,mean_pairwise_distance,1664,-0.08513091958532906,-0.003982452089167066
fixed_knn_vr,betti_curve_change_h1,median_pairwise_distance,1664,-0.08954735174560734,0.014675488879924469
fixed_knn_vr,betti_curve_change_h1,std_pairwise_distance,1664,-0.10784486668730643,-0.07703533786969045
fixed_knn_vr,betti_curve_change_h1,q10_pairwise_distance,1664,0.10510376881467245,-0.019755952119466555
fixed_knn_vr,betti_curve_change_h1,q50_pairwise_distance,1664,-0.08954735174560734,0.014675488879924469
fixed_knn_vr,betti_curve_change_h1,q90_pairwise_distance,1664,-0.09169026565229418,0.009274308473960404
fixed_knn_vr,betti_curve_change_h1,projection_residual,208,-0.5545664883028903,-0.6260073381504515
skip_vr,total_persistence_h1,effective_rank,1664,0.7322918586644634,0.9145655891958235
skip_vr,total_persistence_h1,top_k_variance_fraction,1664,-0.7002997819082585,-0.7991618696545526
skip_vr,total_persistence_h1,mean_pairwise_distance,1664,0.04805028862556191,0.36033995421589593
skip_vr,total_persistence_h1,median_pairwise_distance,1664,0.00426596467769235,0.3444540335608814
skip_vr,total_persistence_h1,std_pairwise_distance,1664,-0.12736117007428707,0.17183219811262743
skip_vr,total_persistence_h1,q10_pairwise_distance,1664,0.9088709134264906,0.9235583458537799
skip_vr,total_persistence_h1,q50_pairwise_distance,1664,0.00426596467769235,0.3444540335608814
skip_vr,total_persistence_h1,q90_pairwise_distance,1664,-0.0015594810283876233,0.34291988837226184
skip_vr,total_persistence_h1,projection_residual,208,-0.18149589703331825,-0.05862162314817563
skip_vr,max_persistence_h1,effective_rank,1664,0.5462511942903182,0.690514485275212
skip_vr,max_persistence_h1,top_k_variance_fraction,1664,-0.5241254316723332,-0.518051980152391
skip_vr,max_persistence_h1,mean_pairwise_distance,1664,-0.08794144547422368,0.07724831231242085
skip_vr,max_persistence_h1,median_pairwise_distance,1664,-0.12796725096335954,0.05952048775738244
skip_vr,max_persistence_h1,std_pairwise_distance,1664,-0.23782468479479124,-0.0263493466932794
skip_vr,max_persistence_h1,q10_pairwise_distance,1664,0.7547330485859063,0.7517179925933656
skip_vr,max_persistence_h1,q50_pairwise_distance,1664,-0.12796725096335954,0.05952048775738244
skip_vr,max_persistence_h1,q90_pairwise_distance,1664,-0.12940966493492873,0.05784547792173479
skip_vr,max_persistence_h1,projection_residual,208,-0.21307336041068684,-0.1687881893340258
skip_vr,top5_persistence_h1,effective_rank,1664,0.5677870782915115,0.7937418916897355
skip_vr,top5_persistence_h1,top_k_variance_fraction,1664,-0.5447572616459959,-0.6325319409026681
skip_vr,top5_persistence_h1,mean_pairwise_distance,1664,0.006081179468150945,0.2455297094585904
skip_vr,top5_persistence_h1,median_pairwise_distance,1664,-0.03760165738423279,0.22494104612985583
skip_vr,top5_persistence_h1,std_pairwise_distance,1664,-0.15573857078847947,0.11535219639645539
skip_vr,top5_persistence_h1,q10_pairwise_distance,1664,0.836292072511744,0.8745740583496856
skip_vr,top5_persistence_h1,q50_pairwise_distance,1664,-0.03760165738423279,0.22494104612985583
skip_vr,top5_persistence_h1,q90_pairwise_distance,1664,-0.03833180171554715,0.2256015442445585
skip_vr,top5_persistence_h1,projection_residual,208,-0.2200729345364655,-0.17279040689476338
skip_vr,betti_curve_area_h1,effective_rank,1664,0.7330896355739351,0.9156360072892622
skip_vr,betti_curve_area_h1,top_k_variance_fraction,1664,-0.7010868212748572,-0.8005867724082458
skip_vr,betti_curve_area_h1,mean_pairwise_distance,1664,0.04799223249211239,0.35919944100204054
skip_vr,betti_curve_area_h1,median_pairwise_distance,1664,0.004140504071897368,0.34329501848208605
